Frame,Resolution,Objects,Time
0,384x640,"17 persons,",536.5
0,384x640,"15 persons,",433.5
0,384x640,"14 persons,",423.6
0,384x640,"16 persons,",424.7
0,384x640,"18 persons,",434.5
0,384x640,"20 persons,",426.5
0,384x640,"16 persons,",390.3
0,384x640,"15 persons,",284.5
0,384x640,"18 persons,",273.2
0,384x640,"21 persons,",260.8
0,384x640,"16 persons,",278.3
0,384x640,"16 persons, 1 bench,",279.7
0,384x640,"20 persons, 1 potted plant,",267.9
0,384x640,"18 persons, 1 potted plant,",270.4
0,384x640,"16 persons,",285.4
0,384x640,"19 persons, 2 potted plants,",274.5
0,384x640,"14 persons, 1 potted plant,",280.4
0,384x640,"17 persons, 1 potted plant,",284.0
0,384x640,"20 persons, 1 potted plant,",278.0
0,384x640,"15 persons, 1 potted plant,",261.6
0,384x640,"15 persons, 1 potted plant,",271.7
0,384x640,"15 persons, 1 potted plant,",289.6
0,384x640,"16 persons, 1 bench, 1 potted plant,",262.3
0,384x640,"16 persons, 1 bench, 1 potted plant,",278.4
0,384x640,"18 persons, 1 potted plant,",282.1
0,384x640,"18 persons, 1 bench, 1 potted plant,",262.9
0,384x640,"16 persons, 1 bench, 1 potted plant,",273.8
0,384x640,"17 persons, 1 potted plant,",282.3
0,384x640,"16 persons, 1 potted plant,",269.5
0,384x640,"21 persons, 1 bench, 1 potted plant,",261.9
0,384x640,"21 persons, 1 bench, 1 potted plant,",283.4
0,384x640,"19 persons,",287.7
0,384x640,"19 persons,",276.2
0,384x640,"19 persons,",272.9
0,384x640,"18 persons, 1 potted plant,",280.7
0,384x640,"20 persons, 1 potted plant,",273.0
0,384x640,"19 persons,",266.4
0,384x640,"19 persons,",261.2
0,384x640,"21 persons, 1 potted plant,",281.1
0,384x640,"19 persons, 1 potted plant,",264.8
0,384x640,"20 persons, 1 potted plant,",362.9
0,384x640,"24 persons, 1 bench, 1 potted plant,",442.8
0,384x640,"18 persons, 1 bench, 1 potted plant,",455.4
0,384x640,"20 persons, 1 bench,",428.8
0,384x640,"17 persons, 1 bench,",434.5
0,384x640,"21 persons, 1 potted plant,",470.7
0,384x640,"16 persons, 1 bench,",444.8
0,384x640,"17 persons, 1 bench,",417.9
0,384x640,"19 persons, 1 bench,",427.2
0,384x640,"18 persons,",418.4
0,384x640,"20 persons, 1 potted plant,",442.6
0,384x640,"19 persons, 1 bench, 1 potted plant,",425.5
0,384x640,"19 persons, 1 bench, 1 potted plant,",444.4
0,384x640,"16 persons, 1 bench, 1 potted plant,",453.0
0,384x640,"19 persons, 2 benchs,",432.9
0,384x640,"19 persons,",434.4
0,384x640,"16 persons, 1 bench,",419.5
0,384x640,"20 persons, 1 potted plant,",334.9
0,384x640,"17 persons, 1 potted plant,",271.9
0,384x640,"16 persons, 1 potted plant,",276.5
0,384x640,"14 persons, 1 potted plant,",268.6
0,384x640,"19 persons, 1 bench, 1 potted plant,",261.6
0,384x640,"19 persons, 1 bench, 1 potted plant,",270.0
